Tweet,Target,Stance
Clearly the corruption of #HillaryClinton seems to have no boundaries... my eyes have been opened to see! I was deceived n formerly supported her but now I'm awake...,Hillary Clinton,AGAINST
It was all a hoax to get the heat off #HillaryClinton for her email scandal! And the liberal media ate it up! #FakeNews #ClintonCrimeFamily,Hillary Clinton,AGAINST
#BREAKING: Hillary 'Liar' Clinton Approved Russian Hoax Scandal against Donald Trump. Declassified docs reveal. #RussiaHoax #HillaryClinton,Hillary Clinton,AGAINST
"#HillaryClinton...you ARE crazy! You will not ever admit that you destroyed your phones, bleach pit everything, paid for the fake Russian falsehood against Trump!",Hillary Clinton,AGAINST
"Again, #HillaryClinton was #Trump's best assistant.  She is responsible.",Hillary Clinton,FAVOR
#JoeBiden's doing terrible tonight even with #ChrisWallace helping him. #HillaryClinton did a lot better against #PresidentTrump then Biden's doing tonight. #Debates2020,Hillary Clinton,FAVOR
I think we all owe #HillaryClinton a term as president!!,Hillary Clinton,FAVOR
"#STOPTHEPRESSES! AGAIN! October 26, 2016.#HillaryClinton still leads #DonaldTrump by 14 points!!!",Hillary Clinton,FAVOR
Yea honestly politics completely aside people need to wear a fkn mask,Hillary Clinton,NONE
Politics was ugly before but now it is childish and ugly. The next several years are going to be highly annoying to mature adults.,Hillary Clinton,NONE
My sisters also wanted me to have an abortion and since then I cut ties with them. What your mom did was pure evil and I hope one day you find peace,Legalization of Abortion,AGAINST
she's say abortion is murder and that she's pro life,Legalization of Abortion,AGAINST
"Sure I never said I didn't first bring it up, but you said “you support murder too” too means you do realize abortion is murder and youre saying i also support murder",Legalization of Abortion,AGAINST
"@realDonaldTrump How can you have an abortion 'beyond birth', you lump of braindead nazi shit? You're insane and need locking up in a mental institution",Legalization of Abortion,AGAINST
"Abortion isn't murder, sweetie.  But evangelical Republican hypocrites still perform backyard abortions on their 14-year-old daughters.  Incest is still a crime in your faith, right?",Legalization of Abortion,FAVOR
"If you're tweeting in English, probably the legalization of abortion in Mexico isn't even your business",Legalization of Abortion,FAVOR
The legalization of abortion is so that more women do not die clandestinely.,Legalization of Abortion,FAVOR
"As for pro-Life? It's more about the legalization of abortion. Making it illegal, will increase the demand for abortion, & they will go to where it's legal or just do it legally.",Legalization of Abortion,FAVOR
@Matthew_Shadle and @SteveMissionary I'm not aware of US abortion statistics past 2017. Do you have a link you could share?,Legalization of Abortion,NONE
@roxanaroxyyyy @KaitMarieox and @realDonaldTrump I didn't compare it to abortion. YOU did that. Scroll back up. How illiterate can one woman get.,Legalization of Abortion,NONE
I believe god is with us every step of the way otherwise it was not possible for us to reach the position where we are today!! ,Atheism,AGAINST
"God knows it all and some day, all the shit leaders are trying to put us through will find their way back to their children, Remember God is never mocked,and he knows it all.",Atheism,AGAINST
I believe that God talks to everybody. The question is not who does God talk to but who listens…,Atheism,AGAINST
Very true. Believe in God. He has everything planned for you,Atheism,AGAINST
As an atheist why would you look in a book on what a societal construct favours or disfavours?,Atheism,FAVOR
